id,age,gender,num_answers,in_person,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C1_name,C2_name,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab,distance_pair1,distance_pair2,distance_pair3,distance_pair4,distance_pair5,distance_pair6,distance_pair7,distance_pair8,distance_pair9,distance_pair10,distance_pair11
5713dd915ca28,24,Female,20,no,objTwoColors,#80FF00,116,0,171,3,Green    ,Red      ,0.82,0.11,0.31,0.1,0.16,0.1,0.3,0.3,0.33,0.28,0.3,0.83,0.52,0.52,0.6,0.5,0.52
5713fc80c942a,23,Female,32,no,objTwoColors,#80FF00,55,181,154,5,Green    ,Blue     ,0.31,0.05,0.21,0.07,0.12,0.1,0.42,0.43,0.42,0.43,0.43,0.78,0.49,0.5,0.6,0.5,0.5
572106a31c230,24,Male,16,no,objTwoColors,#80FF00,197,57,315,3,LI-Blue  ,Green    ,0.67,0.04,0.17,0.05,0.09,0.09,0.38,0.4,0.33,0.4,0.4,0.18,0.15,0.16,0.06,0.15,0.16
572767049ccfa,24,Male,32,yes,objTwoColors,#00FF00,5,227,103,4,Red      ,Blue     ,0.31,0.43,0.16,0.09,0.17,0.17,0.91,0.92,0.9,0.92,0.92,1.05,0.89,0.89,0.93,0.9,0.89
572baa7f9493c,20,Female,10,no,objTwoColors,#80FF00,175,63,330,3,Blue     ,Green    ,0.63,0.05,0.17,0.06,0.13,0.12,0.26,0.28,0.23,0.29,0.28,0.31,0.03,0.05,0.14,0.05,0.05
572c85675a5ef,23,Male,32,yes,objTwoColors,#80FF00,94,97,223,5,Green    ,Green    ,0.63,0.02,0.29,0.12,0.22,0.22,0.14,0.15,0.22,0.16,0.15,0.67,0.36,0.35,0.49,0.37,0.35
5734918f46823,26,Male,32,no,objTwoColors,#80FF00,53,191,97,3,Green    ,Sky-Blue ,0.36,0.05,0.2,0.06,0.1,0.09,0.48,0.49,0.48,0.49,0.49,0.83,0.55,0.55,0.65,0.56,0.55
5734aa4c927a8,22,Male,15,no,objTwoColors,#80FF00,56,206,193,3,Green    ,Navy-Blue,0.47,0.04,0.21,0.03,0.07,0.09,0.55,0.56,0.55,0.56,0.56,0.91,0.62,0.63,0.73,0.63,0.63
5735d3455a84c,29,Male,32,no,objTwoColors,#80FF00,189,55,249,4,Cyan     ,Green    ,0.65,0.05,0.15,0.06,0.1,0.09,0.34,0.36,0.28,0.35,0.36,0.24,0.12,0.12,0.04,0.11,0.12
5738cf3d97a58,23,Male,32,no,objTwoColors,#80FF00,117,0,164,4,Green    ,Red      ,0.82,0.11,0.31,0.1,0.16,0.1,0.3,0.3,0.33,0.28,0.3,0.83,0.52,0.52,0.6,0.5,0.52
573a0b8280839,29,Male,21,yes,objTwoColors,#00FF00,164,54,144,3,Green    ,Green    ,0.63,0.04,0.2,0.08,0.14,0.11,0.2,0.21,0.12,0.2,0.21,0.39,0.07,0.07,0.17,0.06,0.07
573e4022949b1,24,Male,32,yes,objTwoColors,#00FF00,128,0,115,5,Green    ,Red      ,0.82,0.09,0.3,0.09,0.15,0.09,0.3,0.3,0.32,0.28,0.3,0.82,0.51,0.51,0.59,0.49,0.51
573e47c26cb8e,24,Male,32,yes,objTwoColors,#00FF00,58,249,206,3,Green    ,Blue     ,0.59,0.36,0.22,0.03,0.06,0.13,0.65,0.66,0.65,0.66,0.66,1.02,0.73,0.74,0.83,0.74,0.74
573e4d0eb795b,24,Male,32,yes,objTwoColors,#00FF00,58,236,88,5,Green    ,Blue     ,0.59,0.08,0.22,0.03,0.06,0.13,0.66,0.67,0.65,0.66,0.67,1.03,0.74,0.75,0.83,0.74,0.75
573ec4275ba17,24,Female,32,yes,objTwoColors,#00FF00,216,56,391,3,Blue     ,Green    ,0.74,0.04,0.26,0.03,0.04,0.1,0.5,0.51,0.44,0.51,0.51,0.07,0.27,0.27,0.17,0.27,0.27
573edae85268b,27,Male,32,yes,objTwoColors,#00FF00,235,59,162,4,Blue     ,Green    ,0.78,0.08,0.38,0.03,0.06,0.13,0.55,0.57,0.51,0.58,0.57,0.01,0.32,0.33,0.24,0.34,0.33
574121b9e952d,22,Female,5,no,objTwoColors,#80FF00,59,208,117,3,Green    ,NA       ,0.49,0.04,0.22,0.03,0.07,0.1,0.55,0.56,0.55,0.56,0.56,0.93,0.64,0.64,0.73,0.64,0.64
574297edae49c,24,Male,32,no,objTwoColors,#80FF00,96,80,239,4,Green    ,Yellow   ,0.63,0.01,0.29,0.11,0.21,0.19,0.09,0.1,0.17,0.11,0.1,0.62,0.31,0.31,0.44,0.32,0.31
57451c3b38192,23,Female,32,no,objTwoColors,#80FF00,0,87,117,5,Red      ,DK-Green ,0.22,0.18,0.25,0.1,0.16,0.09,0.51,0.53,0.52,0.54,0.53,0.65,0.49,0.5,0.56,0.51,0.5
5745500f6e643,24,Female,32,no,objTwoColors,#80FF00,97,0,387,2,Green    ,Red      ,0.8,0.16,0.29,0.1,0.15,0.09,0.28,0.29,0.31,0.27,0.29,0.82,0.51,0.51,0.59,0.49,0.51
57459c393bbd0,29,Male,31,no,objTwoColors,#80FF00,189,54,439,4,Cyan     ,Green    ,0.66,0.05,0.15,0.06,0.1,0.09,0.34,0.36,0.27,0.35,0.36,0.24,0.12,0.12,0.03,0.11,0.12
5756ab1701ba0,21,Male,32,yes,objTwoColors,#00FF00,58,211,142,5,Green    ,Blue     ,0.5,0.04,0.22,0.03,0.06,0.1,0.57,0.58,0.57,0.58,0.58,0.94,0.65,0.66,0.75,0.66,0.66
5756ae6897296,21,Male,32,yes,objTwoColors,#00FF00,54,164,350,4,Green    ,Green    ,0.31,0.04,0.2,0.08,0.14,0.11,0.34,0.36,0.35,0.37,0.36,0.7,0.42,0.42,0.53,0.44,0.42
5756b2d9bd658,23,Female,32,yes,objTwoColors,#00FF00,57,201,83,5,Green    ,Navy-Blue,0.44,0.04,0.21,0.04,0.08,0.09,0.51,0.53,0.52,0.53,0.53,0.88,0.59,0.6,0.71,0.6,0.6
5757fd2703090,22,Male,32,yes,objTwoColors,#80FF00,86,0,172,5,DK-Green ,Red      ,0.77,0.19,0.27,0.1,0.16,0.09,0.31,0.32,0.31,0.3,0.32,0.81,0.5,0.5,0.58,0.48,0.5
5757ffca0b4b1,24,Male,32,yes,objTwoColors,#80FF00,129,0,97,3,Green    ,Red      ,0.82,0.09,0.3,0.09,0.15,0.09,0.3,0.31,0.32,0.29,0.31,0.82,0.51,0.51,0.59,0.49,0.51
57581518c2c07,25,Male,32,yes,objTwoColors,#80FF00,227,56,95,5,Blue     ,Green    ,0.77,0.06,0.34,0.02,0.04,0.12,0.54,0.55,0.49,0.55,0.55,0.02,0.31,0.31,0.21,0.31,0.31
57582b17cd76a,26,Male,32,yes,objTwoColors,#80FF00,58,179,64,3,Green    ,Blue     ,0.31,0.05,0.21,0.06,0.12,0.1,0.4,0.41,0.4,0.41,0.41,0.77,0.48,0.49,0.58,0.49,0.49
5710d28fec2d1,30,Male,32,no,objTwoColors,#80FF00,0,102,95,1,Red      ,Green    ,0.23,0.14,0.25,0.1,0.15,0.09,0.55,0.56,0.56,0.57,0.56,0.69,0.53,0.53,0.6,0.54,0.53
5710d87585247,31,Male,3,no,objTwoColors,#80FF00,250,59,331,3,Blue     ,Green    ,0.77,0.36,0.39,0.03,0.05,0.13,0.55,0.57,0.51,0.58,0.57,0,0.32,0.33,0.24,0.34,0.33
5711106ab212a,33,Male,32,no,objTwoColors,#80FF00,56,116,212,3,Green    ,Green    ,0.51,0.01,0.2,0.12,0.2,0.17,0.3,0.31,0.32,0.32,0.31,0.66,0.37,0.38,0.5,0.39,0.38
5711148c11035,35,Male,22,no,objTwoColors,#80FF00,57,173,89,3,Green    ,Green    ,0.28,0.04,0.21,0.06,0.12,0.11,0.37,0.39,0.38,0.39,0.39,0.74,0.45,0.46,0.57,0.46,0.46
57112e1a2bbbb,32,Male,16,no,objTwoColors,#80FF00,60,59,233,3,Green    ,Green    ,0.5,0.11,0.21,0.13,0.16,0.11,0.13,0.14,0.15,0.15,0.14,0.51,0.22,0.23,0.34,0.24,0.23
571153ca15566,32,Male,32,no,objTwoColors,#80FF00,243,58,397,5,Blue     ,Green    ,0.78,0.36,0.39,0.03,0.06,0.13,0.56,0.57,0.52,0.57,0.57,0.02,0.33,0.33,0.24,0.33,0.33
571252e6d2e70,31,Female,32,no,objTwoColors,#80FF00,55,188,132,5,Green    ,Cyan     ,0.35,0.05,0.21,0.06,0.11,0.09,0.45,0.46,0.46,0.46,0.46,0.81,0.52,0.53,0.64,0.53,0.53
57153eb9b4bed,35,Female,31,no,objTwoColors,#80FF00,0,118,93,2,Red      ,Green    ,0.24,0.11,0.25,0.1,0.16,0.1,0.56,0.58,0.58,0.59,0.58,0.7,0.54,0.55,0.62,0.56,0.55
57190633f233f,30,Male,32,no,objTwoColors,#80FF00,56,247,206,4,Green    ,Blue     ,0.59,0.36,0.21,0.03,0.06,0.13,0.67,0.68,0.66,0.67,0.68,1.03,0.74,0.75,0.84,0.74,0.75
573a059da0efd,31,Female,32,yes,objTwoColors,#00FF00,195,65,180,5,Sky-Blue ,Yellow   ,0.67,0.04,0.16,0.05,0.1,0.1,0.38,0.4,0.35,0.41,0.4,0.2,0.15,0.16,0.08,0.17,0.16
573c783748e8b,37,Female,32,yes,objTwoColors,#00FF00,99,110,954,4,Green    ,Green    ,0.65,0.03,0.3,0.12,0.23,0.23,0.15,0.16,0.25,0.17,0.16,0.69,0.38,0.38,0.52,0.39,0.38
5740a8b59d448,31,Female,32,yes,objTwoColors,#00FF00,59,186,100,5,Green    ,Cyan     ,0.36,0.04,0.22,0.06,0.12,0.1,0.42,0.44,0.44,0.44,0.44,0.8,0.51,0.52,0.62,0.52,0.52
5740b686127bb,32,Male,32,yes,objTwoColors,#00FF00,59,147,180,4,Green    ,NA       ,0.44,0.03,0.21,0.09,0.18,0.15,0.27,0.29,0.31,0.3,0.29,0.65,0.36,0.37,0.49,0.38,0.37
5745b5cbe3caa,34,Female,32,no,objTwoColors,#80FF00,99,49,574,2,Green    ,Green    ,0.64,0.05,0.3,0.12,0.2,0.15,0.05,0.05,0.09,0.04,0.05,0.59,0.28,0.27,0.36,0.26,0.27
574859b8f3379,30,Male,32,yes,objTwoColors,#00FF00,195,52,105,4,Sky-Blue ,Green    ,0.68,0.04,0.16,0.05,0.09,0.09,0.39,0.4,0.31,0.39,0.4,0.21,0.16,0.16,0.04,0.15,0.16
5710e3d7c1247,41,Male,2,no,objTwoColors,#80FF00,0,0,0,1,Red      ,Red      ,0.39,0.39,0.25,0.24,0.3,0.22,0.69,0.7,0.64,0.68,0.7,0.83,0.67,0.67,0.68,0.65,0.67
57110028bc74b,48,Female,32,no,objTwoColors,#80FF00,0,73,120,5,Red      ,Yellow   ,0.21,0.22,0.25,0.12,0.18,0.09,0.46,0.48,0.47,0.49,0.48,0.6,0.44,0.45,0.51,0.46,0.45
