id,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C1_name,C2_name,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab,distance_pair1,distance_pair2,distance_pair3,distance_pair4,distance_pair5,distance_pair6,distance_pair7,distance_pair8,distance_pair9,distance_pair10,distance_pair11
5734918f46823,objTwoColors,#80FF00,53,191,97,3,Green    ,Sky-Blue ,0.36,0.05,0.2,0.06,0.1,0.09,0.48,0.49,0.48,0.49,0.49,0.83,0.55,0.55,0.65,0.56,0.55
5734aa4c927a8,objTwoColors,#80FF00,56,206,193,3,Green    ,Navy-Blue,0.47,0.04,0.21,0.03,0.07,0.09,0.55,0.56,0.55,0.56,0.56,0.91,0.62,0.63,0.73,0.63,0.63
5734d89183dab,objTwoColors,#80FF00,58,189,78,4,Green    ,Cyan     ,0.37,0.04,0.22,0.06,0.11,0.1,0.45,0.46,0.45,0.46,0.46,0.82,0.53,0.54,0.63,0.54,0.54
5735d3455a84c,objTwoColors,#80FF00,189,55,249,4,Cyan     ,Green    ,0.65,0.05,0.15,0.06,0.1,0.09,0.34,0.36,0.28,0.35,0.36,0.24,0.12,0.12,0.04,0.11,0.12
5736048bb110b,objTwoColors,#80FF00,90,80,195,5,Green    ,Yellow   ,0.61,0.01,0.28,0.11,0.2,0.19,0.1,0.11,0.17,0.12,0.11,0.62,0.3,0.3,0.44,0.31,0.3
573634984323e,objTwoColors,#80FF00,62,127,45,4,Green    ,Green    ,0.52,0.01,0.22,0.11,0.2,0.17,0.27,0.29,0.3,0.3,0.29,0.66,0.37,0.37,0.49,0.39,0.37
573664e1a4a96,objTwoColors,#80FF00,57,158,173,3,Green    ,Cyan     ,0.36,0.04,0.21,0.09,0.15,0.13,0.31,0.33,0.32,0.33,0.33,0.68,0.39,0.4,0.51,0.4,0.4
57366c199283c,objTwoColors,#80FF00,59,173,245,3,Green    ,Green    ,0.29,0.04,0.22,0.06,0.12,0.11,0.36,0.38,0.38,0.38,0.38,0.74,0.45,0.46,0.56,0.46,0.46
574121b9e952d,objTwoColors,#80FF00,59,208,117,3,Green    ,NA       ,0.49,0.04,0.22,0.03,0.07,0.1,0.55,0.56,0.55,0.56,0.56,0.93,0.64,0.64,0.73,0.64,0.64
57427cf6bad0c,objTwoColors,#80FF00,101,103,572,1,Green    ,Green    ,0.65,0.03,0.3,0.12,0.23,0.23,0.14,0.15,0.24,0.17,0.15,0.69,0.37,0.37,0.51,0.39,0.37
574297edae49c,objTwoColors,#80FF00,96,80,239,4,Green    ,Yellow   ,0.63,0.01,0.29,0.11,0.21,0.19,0.09,0.1,0.17,0.11,0.1,0.62,0.31,0.31,0.44,0.32,0.31
574511e99b6d9,objTwoColors,#80FF00,191,58,307,4,Sky-Blue ,Green    ,0.66,0.04,0.15,0.06,0.1,0.1,0.35,0.36,0.3,0.36,0.36,0.22,0.12,0.12,0.04,0.12,0.12
5745350dc1e22,objTwoColors,#80FF00,59,183,115,5,Green    ,Blue     ,0.34,0.05,0.22,0.06,0.12,0.1,0.41,0.43,0.42,0.43,0.43,0.79,0.5,0.51,0.6,0.51,0.51
57459c393bbd0,objTwoColors,#80FF00,189,54,439,4,Cyan     ,Green    ,0.66,0.05,0.15,0.06,0.1,0.09,0.34,0.36,0.27,0.35,0.36,0.24,0.12,0.12,0.03,0.11,0.12
5745b5cbe3caa,objTwoColors,#80FF00,99,49,574,2,Green    ,Green    ,0.64,0.05,0.3,0.12,0.2,0.15,0.05,0.05,0.09,0.04,0.05,0.59,0.28,0.27,0.36,0.26,0.27
5745c1c07cc0c,objTwoColors,#80FF00,199,59,162,4,Navy-Blue,Green    ,0.68,0.04,0.17,0.04,0.09,0.09,0.39,0.41,0.35,0.42,0.41,0.16,0.16,0.17,0.08,0.18,0.17
