id,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C3_name,distance_expectedC3_blue,distance_expectedC3_orange,distance_HSV_1,distance_HSV_2,distance_LCh,distance_CMYK,distance_RGB,distance_Lab
5735d3455a84c,twoColorsObj,#00FF00,#FF00FF,#c9ab00,447,1,NA       ,0.35,0.11,0.35,0.11,0.14,0.09,0.12,0.08
5736048bb110b,twoColorsObj,#00FF00,#FF00FF,#D7A700,206,5,NA       ,0.35,0.1,0.35,0.1,0.13,0.09,0.12,0.08
573613f4689a3,twoColorsObj,#00FF00,#FF00FF,#808000,593,1,NA       ,0.35,0.13,0.35,0.13,0.16,0.1,0.12,0.09
573634984323e,twoColorsObj,#00FF00,#FF00FF,#c9b2a2,325,3,NA       ,0.26,0.18,0.26,0.18,0.21,0.01,0.02,0.01
573664e1a4a96,twoColorsObj,#00FF00,#FF00FF,#8080FF,188,1,NA       ,0.11,0.32,0.11,0.32,0.34,0.15,0.13,0.16
57366c199283c,twoColorsObj,#00FF00,#FF00FF,#FF8000,215,2,NA       ,0.35,0.07,0.35,0.07,0.1,0.11,0.14,0.1
5738cf3d97a58,twoColorsObj,#00FF00,#FF00FF,#0000FF,123,2,Navy-Blue,0,0.42,0,0.42,0.44,0.26,0.23,0.27
57427cf6bad0c,twoColorsObj,#00FF00,#FF00FF,#ca8aaa,72,1,NA       ,0.23,0.19,0.23,0.19,0.22,0.03,0.03,0.05
574297edae49c,twoColorsObj,#00FF00,#FF00FF,#c9ab00,145,2,NA       ,0.35,0.11,0.35,0.11,0.14,0.09,0.12,0.08
574511e99b6d9,twoColorsObj,#00FF00,#FF00FF,#c9ab00,421,2,NA       ,0.35,0.11,0.35,0.11,0.14,0.09,0.12,0.08
57451c3b38192,twoColorsObj,#00FF00,#FF00FF,#808000,15,3,NA       ,0.35,0.13,0.35,0.13,0.16,0.1,0.12,0.09
5745350dc1e22,twoColorsObj,#00FF00,#FF00FF,#91c01d,265,3,NA       ,0.36,0.15,0.36,0.15,0.19,0.11,0.12,0.1
5745500f6e643,twoColorsObj,#00FF00,#FF00FF,#808000,318,2,NA       ,0.35,0.13,0.35,0.13,0.16,0.1,0.12,0.09
57459c393bbd0,twoColorsObj,#00FF00,#FF00FF,#808000,33,3,NA       ,0.35,0.13,0.35,0.13,0.16,0.1,0.12,0.09
5745b5cbe3caa,twoColorsObj,#00FF00,#FF00FF,#c9ab00,271,3,NA       ,0.35,0.11,0.35,0.11,0.14,0.09,0.12,0.08
5745c1c07cc0c,twoColorsObj,#00FF00,#FF00FF,#808000,25,3,NA       ,0.35,0.13,0.35,0.13,0.16,0.1,0.12,0.09
5745f6f039dc9,twoColorsObj,#00FF00,#FF00FF,#c9b2a2,556,1,NA       ,0.26,0.18,0.26,0.18,0.21,0.01,0.02,0.01
