id;date;age;gender;academic_degree;nationality;country_residence;language;num_answers;in_person;time_spent;numBlackSquare;wordBlackSquare;numWhiteSquare;wordWhiteSquare;dimensions;available_dim;color_depth;plate_one;plate_two;plate_three;plate_four;plate_five;plate_six
57112e1a2bbbb;15-Apr-2016 19:08:26 WEST;32;Male;College;portuguese;PT;pt;16;no;15;10;Tree;10;Friday ;360x640;360x640;32;12;1;1;1;26;35
57363b3954a26;13-May-2016 21:38:17 WEST;55;Male;Bachelor Degree;american;US;en;16;no;0;10;ten;10;ten;1024x819;1024x790;24;12;29;74;45;26;35
572106a31c230;27-Apr-2016 19:36:19 WEST;24;Male;Master Degree;portuguese;PT;pt;16;no;20;9;world;10;Cure;768x1024;768x1004;32;12;29;74;45;26;35
5710cc2b8a642;15-Apr-2016 12:10:35 WEST;24;Male;Master Degree;portuguese;PT;pt;16;no;11;10;hello;10;cure;1440x900;1440x896;24;12;29;74;45;26;35
5710cbe10cade;15-Apr-2016 12:09:21 WEST;21;Male;Bachelor Degree;portuguese;PT;pt;15;no;32;10;hello;10;cure;1600x900;1600x870;24;12;29;74;45;26;35
5710ceb320fdf;15-Apr-2016 12:21:23 WEST;23;Male;Ensino SecundÃ¡rio;portuguese;PT;pt;15;no;28;10;hello;10;cure;1440x900;1440x823;24;12;29;74;45;28;35
5734aa4c927a8;12-May-2016 17:07:40 WEST;22;Male;Bachelor Degree;belgian;BE;nl;15;no;0;10;hello;10;cure;1366x768;1366x738;24;12;29;74;45;28;35
57112f57403ee;15-Apr-2016 19:13:43 WEST;25;Female;Master Degree;spanish;PT;gl;14;no;8;10;hello;9;friday;1920x1080;1920x1032;24;12;29;71;45;26;35
5744dce84ffa5;24-May-2016 23:59:52 WEST;16;Male;High-School;british;GB;en;13;no;-23;9;world;9;friday;1366x768;1366x728;24;12;29;74;45;28;35
5714d563c6e52;18-Apr-2016 13:38:59 WEST;49;Female;Master Degree;portuguese;PT;pt;13;no;9;10;none;10;cure;1920x1200;1920x1077;24;12;29;74;45;26;35
571163013744e;15-Apr-2016 22:54:09 WEST;53;Female;Master Degree;portuguese;PT;pt;13;no;-44;6;Dog;10;Cure;768x1024;768x1024;32;12;29;74;45;28;35
5.7113E+12;15-Apr-2016 19:16:37 WEST;21;Female;Bachelor Degree;portuguese;PT;pt;13;no;18;10;hello;10;cure;1366x768;1366x728;24;12;29;74;45;26;35
57113ce1334e0;15-Apr-2016 20:11:29 WEST;19;Female;High-School;portuguese;PT;pt;12;no;7;10;Hello;10;Cure;601x962;601x962;32;12;29;74;45;26;35
571410751e7b0;17-Apr-2016 23:38:45 WEST;22;Female;College;portuguese;PT;pt;12;no;7;10;hello;10;cure;1366x768;1366x728;24;12;25;24;42;26;35
5712a47f6f8a6;16-Apr-2016 21:45:51 WEST;44;Male;Bachelor Degree;portuguese;PT;pt;12;no;-45;10;hello;10;cure;1366x768;1366x728;24;12;29;74;45;26;35
571243bcc8142;16-Apr-2016 14:53:00 WEST;24;Male;College;portuguese;PT;pt;12;no;-41;10;hello;10;cure;1920x1080;1920x1032;24;12;29;74;45;26;35
5712649f2fada;16-Apr-2016 17:13:19 WEST;26;Male;Master Degree;portuguese;PT;pt;12;no;7;10;Hello;10;Cure;320x568;320x528;32;12;29;74;45;26;35
57127cb3ab1fe;16-Apr-2016 18:56:03 WEST;1;Male;Master Degree;portuguese;PT;pt;12;no;-50;9;world;10;cure;1920x1080;1825x1080;24;12;24;74;45;26;35
5713aa57bebec;17-Apr-2016 16:23:03 WEST;24;Female;Master Degree;portuguese;PT;pt;12;no;7;10;hello;9;friday;1366x768;1366x728;24;12;29;74;45;26;35
57113d9cc42b5;15-Apr-2016 20:14:36 WEST;21;Female;High-School;portuguese;PT;pt;12;no;5;10;hello;10;cure;1366x768;1366x728;24;12;29;74;45;26;35
5727633cd6511;2-May-2016 15:25:00 WEST;25;Male;Master Degree;portuguese;PT;pt;11;no;0;10;hello;10;cure;1366x768;1366x768;24;12;29;74;45;26;35
5713b961c216a;17-Apr-2016 17:27:13 WEST;647;Male;Master Degree;argentinean;AQ;none;11;no;5;10;Hello;10;Cure;768x1024;1024x748;32;12;29;74;45;28;35
5710dc0f49c60;15-Apr-2016 13:18:23 WEST;22;Male;Bachelor Degree;portuguese;PT;pt;11;no;8;10;hello;10;cure;1920x1080;1920x1040;24;12;29;74;45;26;35
57112cec29456;15-Apr-2016 19:03:24 WEST;26;Male;Master Degree;portuguese;PT;pt;11;no;7;10;hello;10;cure;1920x1080;1920x1053;24;12;29;74;45;26;35
571153e3025f9;15-Apr-2016 21:49:39 WEST;22;Female;Bachelor Degree;portuguese;PT;pt;11;no;9;10;hello;10;cure;1366x768;1366x738;24;12;29;74;45;28;35
57114ae35c9ec;15-Apr-2016 21:11:15 WEST;47;Female;Bachelor Degree;portuguese;PT;pt;11;no;20;10;#NOME?;10;cure;1440x900;1440x870;24;12;29;74;45;26;35
5714c6c26c2f6;18-Apr-2016 12:36:34 WEST;21;Male;College;portuguese;PT;pt;11;no;12;10;hell;10;cure;1920x1080;1920x1052;24;12;29;74;45;28;35
57112edad4a17;15-Apr-2016 19:11:38 WEST;23;Male;High-School;portuguese;PT;pt;10;no;6;9;world;10;cure;1280x800;1280x773;24;12;29;74;45;26;35
571290e28820b;16-Apr-2016 20:22:10 WEST;43;Female;College;portuguese;PT;pt;10;no;8;10;hello;10;cure;1366x768;1366x728;24;12;29;74;45;28;35
5727e49793f7b;3-May-2016 0:36:55 WEST;22;Male;Bachelor Degree;portuguese;PT;pt;10;no;0;10;hello;10;cure;1440x900;1440x873;24;12;29;74;45;26;35
572baa7f9493c;5-May-2016 21:18:07 WEST;20;Female;Bachelor Degree;portuguese;PT;pt;10;no;0;10;hello;10;cure;1366x768;1366x728;24;12;29;74;45;26;35
57113163e6fb1;15-Apr-2016 19:22:27 WEST;20;Female;College;portuguese;PT;pt;10;no;5;10;hello;10;cure;1366x768;1366x728;24;12;29;74;45;26;35
571534076a966;18-Apr-2016 20:22:47 WEST;52;Male;Master Degree;portuguese;PT;pt;9;no;7;10;hello;10;cure;1366x768;1366x768;24;12;29;74;45;26;35
57113b9642c48;15-Apr-2016 20:05:58 WEST;21;Female;Master Degree;portuguese;PT;pt;9;no;15;10;hello;10;cure;1366x768;1366x728;24;12;29;74;45;26;35
57153d9a56ce0;18-Apr-2016 21:03:38 WEST;62;Female;Doctoral Degree;portuguese;PT;pt;9;no;7;10;None;10;Cure;768x1024;1024x748;32;12;29;74;45;26;35
