id,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C1_name,C2_name,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab,distance_pair1,distance_pair2,distance_pair3,distance_pair4,distance_pair5,distance_pair6,distance_pair7,distance_pair8,distance_pair9,distance_pair10,distance_pair11,distance_pair12,distance_pair13
5734b3efd45eb,objTwoColors,#00FF00,58,188,217,3,Green    ,Cyan     ,0.52,0.02,0.14,0.02,0.04,0.05,0.44,0.45,0.45,0.45,0.45,0.23,0.23,0.15,0.23,0.23,0.36,0.37,0.81
5734d89183dab,objTwoColors,#00FF00,225,55,108,4,Blue     ,Green    ,0.32,0.04,0.25,0.06,0.15,0.16,0.55,0.56,0.48,0.55,0.56,0.75,0.76,0.78,0.76,0.76,0.76,0.77,0.04
5735d3455a84c,objTwoColors,#00FF00,203,54,198,4,Navy-Blue,Green    ,0.2,0.02,0.13,0.04,0.08,0.09,0.43,0.44,0.36,0.43,0.44,0.64,0.64,0.67,0.65,0.64,0.7,0.7,0.15
5736048bb110b,objTwoColors,#00FF00,106,95,149,5,Green    ,Green    ,0.35,0,0.21,0.05,0.08,0.13,0.13,0.14,0.22,0.15,0.14,0.24,0.23,0.4,0.24,0.23,0.65,0.65,0.67
573634984323e,objTwoColors,#00FF00,218,55,426,4,Blue     ,Green    ,0.29,0.03,0.21,0.05,0.13,0.14,0.52,0.53,0.45,0.52,0.53,0.72,0.73,0.75,0.73,0.73,0.74,0.75,0.07
573664e1a4a96,objTwoColors,#00FF00,65,181,86,4,Yellow   ,Blue     ,0.49,0.02,0.15,0.02,0.03,0.04,0.38,0.4,0.39,0.4,0.4,0.16,0.17,0.17,0.17,0.17,0.35,0.36,0.78
57366c199283c,objTwoColors,#00FF00,56,237,64,4,Green    ,Blue     ,0.74,0.38,0.14,0.06,0.2,0.18,0.67,0.68,0.66,0.68,0.68,0.47,0.47,0.35,0.47,0.47,0.59,0.59,1.03
5738cf3d97a58,objTwoColors,#00FF00,53,155,446,3,Green    ,Cyan     ,0.39,0.01,0.13,0.07,0.01,0.03,0.32,0.33,0.34,0.34,0.33,0.27,0.27,0.37,0.27,0.27,0.36,0.37,0.67
57427cf6bad0c,objTwoColors,#00FF00,173,56,194,3,Green    ,Green    ,0.02,0.02,0.07,0.04,0.03,0.02,0.24,0.26,0.19,0.26,0.26,0.45,0.47,0.49,0.47,0.47,0.63,0.63,0.32
574297edae49c,objTwoColors,#00FF00,114,127,152,5,Green    ,Green    ,0.39,0.02,0.21,0.05,0.08,0.15,0.17,0.18,0.26,0.19,0.18,0.25,0.25,0.42,0.25,0.25,0.66,0.67,0.7
574511e99b6d9,objTwoColors,#00FF00,59,233,265,3,Green    ,Blue     ,0.73,0.07,0.15,0.07,0.17,0.17,0.64,0.66,0.65,0.66,0.66,0.45,0.46,0.34,0.46,0.46,0.6,0.6,1.02
5745350dc1e22,objTwoColors,#00FF00,177,52,125,5,Blue     ,Green    ,0.06,0.02,0.07,0.05,0.04,0.03,0.29,0.3,0.2,0.29,0.3,0.49,0.49,0.51,0.5,0.49,0.64,0.64,0.32
5745500f6e643,objTwoColors,#00FF00,183,48,126,2,Blue     ,Green    ,0.11,0.02,0.07,0.05,0.05,0.05,0.34,0.35,0.24,0.34,0.35,0.53,0.53,0.54,0.54,0.53,0.66,0.66,0.31
57459c393bbd0,objTwoColors,#00FF00,207,57,349,4,Navy-Blue,Green    ,0.22,0.02,0.14,0.04,0.09,0.1,0.45,0.46,0.39,0.46,0.46,0.66,0.67,0.69,0.67,0.67,0.71,0.71,0.12
5745c1c07cc0c,objTwoColors,#00FF00,205,46,343,4,Navy-Blue,Green    ,0.25,0.02,0.13,0.05,0.11,0.11,0.48,0.5,0.39,0.49,0.5,0.66,0.68,0.68,0.68,0.68,0.72,0.73,0.18
