id,age,gender,num_answers,in_person,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C1_name,C2_name,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab,distance_pair1,distance_pair2,distance_pair3,distance_pair4
573e4d0eb795b,24,Male,32,yes,objTwoColors,#FF007A,0,334,96,4,Red      ,Magenta  ,0.2,0.12,0.12,0.01,0.07,0.08,0.81,0.77,0.59,0.57
573edae85268b,27,Male,32,yes,objTwoColors,#FF007A,359,320,709,4,Red      ,Pink     ,0.09,0.08,0.14,0.03,0.02,0.04,0.84,0.8,0.61,0.6
5740ad339507d,40,Male,32,yes,objTwoColors,#FF007A,7,0,12,2,Red      ,Red      ,0.34,0.16,0.08,0.04,0.12,0.13,0.83,0.79,0.6,0.59
5740b0f8e9734,62,Male,33,yes,objTwoColors,#FF007A,329,0,78,4,Magenta  ,Red      ,0.5,0.11,0.05,0.02,0.06,0.07,0.66,0.62,0.44,0.43
5740b686127bb,32,Male,32,yes,objTwoColors,#FF007A,334,298,372,3,Magenta  ,Pink     ,0.18,0.11,0.09,0.11,0.12,0.13,0.79,0.76,0.57,0.57
574297edae49c,24,Male,32,no,objTwoColors,#FF0080,307,7,178,4,Pink     ,Red      ,0.65,0.06,0.16,0.06,0.03,0.01,0.49,0.45,0.27,0.28
57459c393bbd0,29,Male,31,no,objTwoColors,#FF0080,9,180,186,4,Red      ,Blue     ,0.22,0.37,0.14,0.18,0.23,0.17,0.81,0.78,0.58,0.58
5745f6f039dc9,15,Male,33,no,objTwoColors,#FF0080,0,0,0,4,Red      ,Red      ,0.33,0.16,0.08,0.04,0.12,0.13,0.83,0.79,0.61,0.59
574859b8f3379,30,Male,32,yes,objTwoColors,#FF007A,352,196,190,3,Red      ,LI-Blue  ,0.19,0.33,0.14,0.19,0.22,0.14,0.89,0.86,0.66,0.66
5756ab1701ba0,21,Male,32,yes,objTwoColors,#FF007A,7,300,360,3,Red      ,Pink     ,0.05,0.03,0.16,0.06,0.03,0.03,0.91,0.88,0.68,0.68
5756ae6897296,21,Male,32,yes,objTwoColors,#FF007A,54,300,406,4,Green    ,Pink     ,0.3,0.16,0.22,0.17,0.09,0.12,0.87,0.85,0.69,0.69
5757fd2703090,22,Male,32,yes,objTwoColors,#FF0080,332,0,328,2,Magenta  ,Red      ,0.47,0.12,0.04,0.01,0.07,0.08,0.69,0.65,0.46,0.45
5757ffca0b4b1,24,Male,32,yes,objTwoColors,#FF0080,331,0,100,5,Magenta  ,Red      ,0.48,0.11,0.04,0.02,0.06,0.07,0.68,0.64,0.45,0.44
57581518c2c07,25,Male,32,yes,objTwoColors,#FF0080,5,43,333,4,Red      ,Yellow   ,0.32,0.15,0.08,0.11,0.12,0.14,0.63,0.58,0.4,0.38
57582b17cd76a,26,Male,32,yes,objTwoColors,#FF0080,10,300,94,3,Red      ,Pink     ,0.06,0.04,0.16,0.06,0.03,0.03,0.9,0.88,0.68,0.68
