id,age,gender,num_answers,in_person,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C1_name,C2_name,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab,distance_pair1,distance_pair2,distance_pair3,distance_pair4
57127bcfaafb0,22,Female,32,no,objTwoColors,#FF0080,5,190,156,3,Red      ,Sky-Blue ,0.19,0.31,0.15,0.19,0.22,0.15,0.86,0.83,0.63,0.63
5712bd55a8a13,27,Female,32,no,objTwoColors,#FF0080,329,0,119,3,Magenta  ,Red      ,0.5,0.11,0.05,0.02,0.06,0.07,0.66,0.62,0.44,0.43
5712c2b021f58,22,Female,32,no,objTwoColors,#FF0080,331,0,370,5,Magenta  ,Red      ,0.48,0.11,0.04,0.02,0.06,0.07,0.68,0.64,0.45,0.44
5712c57f97f25,25,Female,31,no,objTwoColors,#FF0080,7,299,266,3,Red      ,Pink     ,0.05,0.02,0.16,0.06,0.03,0.03,0.92,0.88,0.69,0.68
57138ac176750,21,Male,7,no,objTwoColors,#FF0080,348,0,624,4,Red      ,Red      ,0.36,0.15,0.06,0.03,0.11,0.12,0.8,0.76,0.57,0.56
5713923c1bbc7,24,Female,27,no,objTwoColors,#FF0080,175,214,240,2,Blue     ,Blue     ,0.6,0.3,0.29,0.32,0.32,0.32,0.75,0.73,0.67,0.68
5713a02a13044,24,Female,32,yes,objTwoColors,#FF0080,56,338,145,3,Green    ,Red      ,0.5,0.15,0.23,0.14,0.11,0.14,0.77,0.74,0.59,0.58
5713dd915ca28,24,Female,20,no,objTwoColors,#FF0080,0,0,0,1,Red      ,Red      ,0.33,0.16,0.08,0.04,0.12,0.13,0.83,0.79,0.61,0.59
5713fc80c942a,23,Female,32,no,objTwoColors,#FF0080,12,254,1094,2,Red      ,Blue     ,0.25,0.13,0.18,0.15,0.18,0.11,1.05,1.02,0.83,0.83
5714c6c26c2f6,21,Male,11,no,objTwoColors,#FF0080,337,300,236,3,Red      ,Pink     ,0.14,0.09,0.1,0.1,0.11,0.11,0.81,0.78,0.58,0.58
572767049ccfa,24,Male,32,yes,objTwoColors,#FF007A,338,114,2,3,Red      ,Green    ,0.53,0.22,0.04,0.18,0.23,0.21,0.61,0.58,0.38,0.38
